review_text,is_positive
"Вы не достоины даже 1 звезды, но мы люди, поставим 1. 
-1 звезда = из-за рекламы в музыке 
-2 звезда = из-за за платную подписку 
-3 звезда = за плохой дизайн 
-4 звезда = за лаги и баги, и реклама на видео",1
"Думал хуже уже некуда, а не тут то было.
Мы переосмыслили ВК, в нашей компании не принято стоять на месте, по этому мы придумали для вас новые проблемы:
 1)Теперь когда прокручиваешь ленту новостей она начинает лагать, при появлении лагов ваш телефон мгновенно разогревается до предела, что позволяет согреть руки холодными осенними вечерами! Но и это ещё не все, чтобы вы не обожглись приложение сразу автоматически вылетает, оставляя чёрный экран на протяжении 5-ти секунд, продолжая согревать вас!
 2) Иногда вам может срочно понадобиться отправить сообщение, но и тут мы подумали о вас, иногда ваша спешка может привести к нежелательным последствиям. По этому иногда нет соединения с серверами ВК, чтобы вы могли подумать ещё раз! 
 3) Мы патриоты, по этому занялись импортозамещением. Ввели подписку на музыку, а чем мы хуже загнивающего Запада? А если вы не патриот, то вы заслуженно должны страдать, слушая рекламу через трек и не более получаса!
 Мы заботимся о вас, по этому с каждым следующим обновлением вас ждет ещё больше интересного! Всем спасибо, кто дочитал до конца, надеюсь вам понравилось!",0
"С каждым обновлением грузится все дольше и вылетает все чаще.
Ребята, вы бы смотрели как на андроиде приложение сделано, особенно хочется чтоб вы уже убили приложение для iPad, оно уже просто никакущее, сделайте уже одно универсальное. Блин, самые популярные планшеты, и ваше приложение на нем полнейшая шляпа.",0
"Очень расстраивает, что когда это было Легендарная приложение, а сейчас жалкое сборище всех соцсетей",0
Можно ещё больше рекламы в музыке?,0
"Ахаха, кто-то до сих пор просит убрать платную музычку, отключить ограничение прослушивания музыки в оффлайн режиме...и многое другое))) просить что-то убрать у этих криворуких маил сру бесполезно, на помощь придет только Дуров (что очень даже вряд ли). Да знаете, даже на месте того же прародителя этой бывшей лучшей социальной сети я бы не стала приводить её в прежний вид, легче уже новую социальную сеть создать, куда не проникнут эти тонны назовем их «доната», рекламы, фсб, пакеты яровой и прочая нечисть...спасибо что прочитали этот отзыв кто бы то ни был :)",0
"Отвратительно. Зачем добавили клипы? Я только избавилась от ТикТок, а тут это. Разочарована. Это ужасно отвлекает и отталкивает от пользования соцсетью. Абсолютно бесполезное добавление. Для этого есть отдельные приложения!!!",0
Открываю флешмоб по удалению вк с устройств!,0
"ни музыки,ни нормальных голосовых,вылетает постоянно. Раньше было лучше.",0
"Как сложно писать этот отзыв без мата,если бы вы знали. 
Во-первых я потеряла очень много денег даже не из-за комиссий или нововведений - банально покупая рекламы для паблика и получая блокировку страницы на следующей день за сохранённую картинку, на которой нет ничего нарушающего правила соц сети, как в дальнейшем выяснялось с агентом поддержки. А когда удаляют страницу - удаляют все отложенные записи в паблике, будь их хоть 4, хоть 58 (Да-да, огромные посты с текстом и фотографиями удалились в никуда неоднократно).
Второе - удаление фото и их восстановление через несколько дней, так как опять же на них не было ничего такого, но терялся актив и собственно деньги. 
Третье - я даже не буду перечислять количество багов в этой социальной сети, начиная с того, что истории нельзя выложить с текстом и рисунком, так как все крашится (И нет, у меня ни какой-то там багованый телефон пятилетней давности, ему всего пару месяцев и покупался в оф. Магазине, подобный баг есть у ВСЕХ моих знакомых), до того, что сообщения не отправляются и удаляются сами по себе.
Данное отношения неприемлемо, вы гребёте лопатами с нас деньги, когда обычные пользователи не могут банально сидеть в соц.сети и администраторы сообществ/люди ведущие бизнес через ВК - теряют деньги.
Это отвратительно и лично я перехожу на другие соц.сети, призывая всех знакомых и тех, кто читает этот отзыв. Данное отношение к людям нельзя терпеть, это хамство и эгоизм, а все потому что они почему-то не боятся потерять аудиторию. Так вот по небольшой статистике большинство людей сейчас были бы за перейти в другие соц сети и активно это делают, если подобное будет и дальше, долго данная соц. Сеть жить не будет.
Очень надеюсь, что либо все пофиксят и будет как раньше нормально работать, либо ваша компания с крахом развалится из-за подобного отношения к своим же пользователям.",0
"В приложение уже просто не хочется заходить. 
Дизайн настолько стремный, сложный и замороченный, что приходится тратить немалое время, чтобы найти то, что тебе нужно. 
А еще эта уродливая иконка с аликэкспрессом в «главном меню» просто верх ущербности))
Постоянные лаги, вылеты приложения, порою приходится тупо по пять раз перезаходить, чтобы хотя бы ленту прогрузило. 
Ну и недо-тикток это вообще цирк.",0
"С каждым разом все хуже и хуже. Музыку сделали платной, но можно было беспл слушать если экран горел, реклама была но редко, теперь через песню реклама. Вы издеваетесь?????! Тут даже одну звезду ставить не хочется.",0
"Забавно, как с каждым новым обновлением интерфейс становится все менее и менее удобным и user-friendly. Чем обоснован переход с предыдущей версии интерфейса на эту? Зачем каждый раз уродовать и так работающий велосипед? Как заметили многие другие комментаторы - единственное, что держит в ВК - это сообщества, остальное в разы лучше реализовано в других приложениях. Нынешнее обновление, конечно, не опускает приложение до уровня Facebook, но вы на верном пути👍🏻",0
"Производители тли кто там отвечает за скорость? Почему только контакт загружает все так медленно??? У меня отличный быстрый интернет, грузит все мгновенно и инсту и фэсбук но когда захожу вк все, приехали, сидишь и ждёшь 3 года пока он тебе Сообщения загрузит потом ленту потом сторисы.....пздц какой то. Уже надоел это.",0
"Это самое отвратительное обновление из всех самых отвратительных обновлений.
19.02.2020",0
"Мне всегда в вк нравился минимализм, а сейчас чтобы зайти в интересующее сообщество, нужно потеряться среди разноцветных иконок, ещё ниже будет навязана доставка еды, алиэкспресс, неинтересующий меня спорт, неинтересующие меня сервисы, платежи и так далее. Сейчас копия тик тока. Дайте выбор убрать это чушь. Мне нужен вк для просмотра сообщений и сообществ, однако каждый раз тебе навязывается 1000 сервисов, которые я даже скрыть не могу. Создай отдельное приложение для сообщений или дайте выбор скрыть всю эту чушь. Надеюсь я буду услышана.",0
"верните старый интерфейс, пожалуйста! пробная версия очень неудобная и ей приходится пользоваться даже если не обновлял приложение. почему ее нельзя было сделать в новом обновлении, чтобы те, кто не хочет  ею пользуются, могли бы просто не обновлять!!!!",0
"Спасибо команде дизайнеров, каждый раз удивляют, когда думаешь, что сильнее обосрать дизайн уже нельзя, они удивляют вновь, спасибо!
Сколько уже можно воровать удачные концепты других социальных сетей и так ущербно применять у себя???",0
"Как убрать это стрёмное обновление , разрешение не запрашивает берет и само обновляется , ничего в нем не понятно , не удобно , на телефоне всё перепробовала отключить , ничего не помогает",0
"Почему приложение обновилось само по себе, хотя в аппсторе висит, что нужно обновить ? Как это понимать ?! Мало того, что обновление мерзкое, так его ещё и специально навязали",0
"Разработчики вк, огромное спасибо( нет).
Я только начал привыкать к обновлению и вы сделали новое, отличная идея! Отдельное спасибо за тик ток, всячески пытаясь от него отгородится, вы пихаете мне тот же тик ток в вк, замечательно, просто огромное спасибо, как бы я жил без тик тока от вк. Рекомендации инсты забыты тик током и теперь, последний оплот был сломлен. Наверное, это сделано из-за растущей популярности такого формата, вы привлекаете аудиторию( зачем, если все и так используют вк?), но почему то вы просто забываете/забиваете на людей с другими предпочтениями. Почему нельзя было поставить эти клипы в меню? Теперь у меня в панели одна бесполезная кнопка, благодарю. А те кто хотел бы смотреть эти клипы, заходили бы через меню, я понимаю, что не мне вас учить, но это фиаско.",0
"Окей, я принял то, что я и мои друзья не могут по сто раз отправить голосовое сообщение. Окей, что кучи рекламы, НО ВК ТИК-ТОК то зачем делать? Просто послушайте людей и сделайте как НАМ удобно и получайте по 5*, а не по 1* 
Или вы уже стали мазохистами? 🧐",0
"На кой мне нужны эти клипы , на месте которых раньше друзья были , что за жалкая пародия на тик-ток , никому эти клипы не нужны , мало того , что до этого с друзьями какую-то непонятную ересь сделали , так теперь их вообще в отдельную вкладку поместили",0
"Это невероятно ужасный, неудобный и сплагиаченный с Инстаграма дизайн!! Не нравится! Вернётся последнюю версию! С каждым разом только хуже. Пожалуйста, не копируйте все с Инстаграма.",0
"Верните былые времена!!! Проще яблоко мьюзик оплачивать, чем вк 
Хватит бабки высасывать, вк итак уже не популярен, скоро по уровню ниже одноклассников станет",0
Можно как то убрать видимость того что комментируют мои друзья? Мне совершенно не интересно комментарии к чужим фото,1
"Стало КРАЙНЕ неудобно пользоваться интерфейсом. По факту мне нужны сообщения, новости и уведомления, музыка. Но уведомления запихнули в самое неудобное место, надо тянуться в верх экрана - это для кого удобно? Добавили какие-то видео - да я никогда не пользовалась ими и не буду. Считай удалили кнопку мне с панели и все. Бред. Тем более видеозаписи и так давным давно были, кому они нужны те пользовались - а это что за дурацкий дубль? Когда будет возможность сделать удобную панель под себя?? Удалить весь мусор нафиг. Это же кошмар. Вкладка друзья хоть функциональной была. Недовольна. Как и тысячи других людей.",0
"Такое ощущение, что я слушаю не музыку а рекламу",0
"А с какой стати приложение само обновилось, если у меня выключено автообновления и кнопку согласия я не нажимала? Дайте возможность откатиться, новый дизайн убогий, интерфейс должен быть интуитивно понятен, а сейчас фиг пойми что. Да и с каждым разом рекламы становится всё больше. Остаюсь в вк только ради общения с некоторыми людьми, в остальном - полная помойка.",0
Бесит что я уже третий раз устанавливаю. А мне через некоторое время все меняет. Полностью внешний вид преложения. Без какого либо моего согласия. Я не знаю что у вас там происходит. Но прошу исправить это. Предложение удаляю. И оставляю отзыв ещё хуже.,0
"Вк стал полнейшей помойкой, мнения пользователей вам совершенно не интересны, к нашим просьбам вы совершенно не прислушиваетесь, так ещё и обновляете приложение без предупреждения",0
"Что происходит с вк? Зачем куча рекламы?? Не возможно нормально послушать песни, реклама все портит. Вы не лучше делаете а только хуже! Народу уже скучно и они ищут что-то получше чем вк. Спугиваете людей. Отталкивает очень реклама. Старая версия вк была намного лучше!",0
"ХУДШЕЕ ОБНОВЛЕНИЕ, НЕТ ЧТОБЫ СПОКОЙНО ЖИТЬ НАДО ВЫСРАТЬ ЭТО И РАДОВАТЬСЯ ВОООООТ У НАС НОВЫЙ ДИЗАЙН",0
"слушать музыку через ваше приложение не возможно, 30 мин и при этом еще куча рекламы, если вы добавляете рекламы, снимите ограничение на прослушивание музыки",0
"Разработчикам позор. Такое чувство, будто вы делаете это назло своим пользователям. Во-первых, ваше приложение вылетает постоянно, сколько бы раз вы его ни исправляли. Во-вторых, вы принудительно переводите нас на удобный ТОЛЬКО ВАМ дизайн (хотя я уверена, что вы им даже не пользуетесь, я просто не могу представить как ЭТО может быть удобным??). В третьих, я ни разу не видела, чтобы вы прислушались к людям, которые уже привыкли к вашему приложению и пользуются им каждый день, оставляя вам советы и отзывы (то, над чем неплохо бы действительно поработать, прежде чем ввести что-то 
совершенно раздражающее и бесполезное). Просьба не позориться и убрать эти клипы или же дать возможность нам самостоятельно ВЫБИРАТЬ и МЕНЯТЬ дизайн приложения, как с темной темой. Иначе гудбай. 
Верните Павла Дурова.",0
"Сделайте возможность убирать клипы. Мне не нужно это. Поддержите отзыв, поставьте «полезно», чтобы выдвинуть это в топ. Может тогда разработчики увидят, что эта ***** никому не нужна!",0
Как так получилось что дегродские видеокеки стали важнее друзей?,0
"почему я не могу отменить новое помойное обновление???
это так бесит вот серьёзно",0
"Приложение отказывается работать 
С браузера в телефоне всё работает, а приложение открывается и ничего не грузит
Переустановка не помогла",0
"Не знаю что добавить, заголовком все сказано. Ничего не умеют, никакого вкуса, никакого достоинство. Словно маленький ребёнок который играется с каакоййй, которое раньше было прекрасным лебедем",0
"Сильное нажатие теперь отмечает диалог как прочитанное, что полностью идёт против гайдлайнов. Ни одно приложение так не делает, даже iMessage.

API теперь уже больше ничего не позволяет делать.

Про музыку вообще молчу, не жалею об уходе ещё с 2015 (на Apple Music, кому интересно), когда ввели только первые ограничения сторонним программам получать доступ к определённой музыке. Помойка ремиксов. Все треки, которые загруженные пользователями, в поиске можно выдавать, дав пользователю нажать на Ещё результаты, но нет — бутлеги идут наряду с оригиналами.

ВКонтакте и мейлач являются теми конторами, которые идут против своей политики конфиденциальности и разглашают личную информацию своих пользователей властям без ордеров и решений суда. Возможно, такие данные действительно не продаются ради рекламы, но ВЫДАЮТСЯ властям по щелчку. (А то вдруг оштрафуют / отпиздят / разгромят дом Зингера?)

Мейлру хватается за всё, чтобы заработать на всём и превратить вэка в клон вичата, вместо того, чтобы развивать его. Даже если и получится, то одного лишь не будет хватать — это тру приватности. Оставаясь в России, это потолок — дальше развиваться некуда.

Обращаюсь ко всем контент-мейкерам, пожалуйста, уйдите с ВК и перейдите на другие платформы for good.

Рип ВКонтакте.",0
"Я конечно извиняюсь,но вы в край ахуели?Многие уже смирились с тем,что музыку можно слушать всего 30 минут и даже купили подписку за 150 рублей в месяц!150,Карл!За такие деньги в айпсторе можно целый альбом купить навсегда и слушать на здоровье,но сейчас речь не об этом.Сегодня захожу в вк,хочу послушать музыку и вижу,что большинство песен в плейлисте нельзя послушать.Подумала,что какой-то баг,нажимаю и вк выдает мне,что без прдписки я не могу послушать эти песни!Вы совсем зажрались?Вам денег за стикеры,за музыку и прочую херню не хватает?Что дальше?Платные сообщения?Истории?И это при том,что вк все под чистую уже давно все слизывает с инсты(кроме музыки,которая к сожалению R.I.P).Сижу тут только ради групп и бесед.Хотя такими темпами и сообщения будут платными.Зажрались вы!",0
Новое обновление просто ужасное🤮,0
Совершенно бесполезные клипы !!! Испортили приложение !,0
"Никогда не писала отзывы на приложения, но любимый «вк» заставил это сделать. С каждым обновлением использование приложения становится все более невозможным. Приложения во всем мире создают для того, чтобы пользователь мог интуитивно совершать действия, но «ВКонтакте» делает все, чтобы человек потратил своё время на поиски нужной вкладки. 
Сегодняшнее обновление с добавлением в нижнее меню «клипов» просто поразило. Мне не 12 лет, и Я не использую эту сеть в качестве развлечения. Мне важно, чтобы основные элементы были под рукой. Чем клипы удобнее вкладки «друзья»?
Надеюсь разработчики прислушаются к моему отзыву и задумаются над тем, что данным приложением пользуется не только поколение тиктока.",0
"Зачем ВК пародирует другие приложения совершенно другого жанра?!
Сначала он плагиатил Инстаграмм сейчас перешёл на тик ток
Ужас !!! Обновляйте заново!!!",0
"Вы специально перетряхиваете меню с какой-то периодичностью, чтобы мы не привыкали? Каков период принятия решений о том, что вот_эту_кнопку мы теперь засунем за Эту Вкладку?
Почему нельзя настроить главную страницу, НАВСЕГДА скрыв ненужные мне разделы?
Почему выбор «это неинтересно» ни на что толком не влияет?
С последним на сегодня обновлением доступ к постоянно нужным мне функциям стал ещё более неудобным. Про возможность кастомизации я уже говорил…",0
"Здравствуйте, уважаемая команда «ВКонтакте». С рекламой, музыкой и остальными аспектами всё уже давно ясно, но убедительная просьба добавить возможность отключать вкладку «Клипы» в нижнем статус-баре. Лично для меня данная вкладка абсолютно бесполезна и нет ни малейшего желания наблюдать её.",0
"Любил, пользовался вк, но когда вышло обновление, разочаровался полностью, зачем добавлять тик ток в вк?",0
"Читаю отзывы, читаю, читаю и, удивительно, нет ни одного, акцентирую внимание, ни одного положительного отзыва. Но почему-то оценок в 5 баллов больше чем единиц. Мэйл.ру, вы же вроде как против накрутки ботов, так почему вы накручиваете себе пятёрки???",0
"С каждым обновлением приложение становится все хуже и хуже. Очень неудобное меню, найти нужную вкладку занимает кучу времени. Ещё и музыка платная",0
"Скажите мне пожалуйста, mail group? На каком основании без соглашения пользователей (То есть обновления в ручную) вы предыдущие версии обновляете свой ужасный и безыскусный дизайн? Вы лишаете пользователей выбора!",0
"Какие клипы? Я не в тик-ток захожу,вк всегда был впервую очередь мессенджером,вы превращаете его в помойку",0
"Разработчики , вы можете вернуть обратно старый интерфейс новые обновления очень ужасны и не удобны в использовании так теперь ещё и даже не может войти в программу постоянно вылетает",0
Многие в этой соц.сети лишь из-за музыки!#ВЕРНИТЕДУРОВАЭТОПИЗДЕЦКАКОЙ-ТО,0
Новая обнова- полная шляпа!!!,0
Вылетает после последнего обновления! Айфон 7. Толко успевает показать белый экран загрузки приложения и сразу же вылетает!,0
"Думал хуже уже не будет, ошибался",0
Зачем было убирать друзей с панельки в другое место? А главный вопрос ЗАЧЕМ МНЕ НА ПАНЕЛЬКЕ КЛИПЫ?,0
"сначала блокировка пабликов и страниц, содержащих эротические материалы, и невозможность безопасного поиска, потом вонючие клипы вконтакте (молчу уже о том, что вы целый говноедский раздел для этого налепили), и я, нормальный, адекватный человек, иногда попадая пальцем не туда, вынуждена страдать и ненавидеть в первую очередь вас. 
что касаемо нового сюрприза, поджидавшего меня сегодня – «ИЗОБРАЖЕНИЕ НЕДОСТУПНО В ВАШЕМ РЕГИОНЕ». серьезно? нет, серьезно? боюсь, мой отзыв не выживет, если я буду материться, но вы сами можете вспомнить все маты, которые существуют, так вот все они адресованы ВАМ.",0
Верните прежний вк пид*ры,0
"Похоже, версию для iPad забросили окончательно. Печально(((",0
Слишком много рекламы и лагов,0
"Обновление, конечно, потрясающее, ничего не сказать. Правда приложение не открывается совсем.",0
"Я никогда не оставлял отзывов, тем более негативных, ни к одному из установленных мной приложений, но то, во что вы превратили ВКонтакте для iOS не вызывает ничего, кроме бури самых негативных эмоций, которые только можно себе представить. Я всегда спокойно и терпеливо относился к различным бесполезным нововведениям в вашем приложении, и ко многим даже привык, хоть и давалось это с трудом. Но скажу одно, — в нагромождении вы абсолютно точно переплюнули Фейсбук, упали на дно, и яростно начали его рыть. Не знаю, сколько ещё времени должно пройти, и сколько ещё сотен тысяч негативных отзывов вы должны получить, чтобы ваши pукожопые недодизайнеры-недопрограммисты наконец поняли, что не нужно воплощать на деле всё то, о чём они узнают на курсах программирования скилбокс. Людям не нужны все эти миллионы бесполезных «сервисов», которые вы пихаете! Я эту вкладку вообще не хочу видеть! Вы даже не можете додуматься сделать её редактируемой! Мне H A X Y Й не сдались ваши e6yчиe ШАГИ — у меня для этого есть Эппл Вотч, мне до лампочки какой сейчас курс валюты — я посмотрю его в Яндексе, если будет необходимость, и уж тем более я ничего не хочу знать о том какие команды по бадминтону сейчас между собой играют!!! Я не хочу всего этого видеть!!!И это не говоря о том, что в приложении не работает поиск — НИГДЕ — ни в музыке, ни в друзьях, ни в сообществах. Полное отсутствие модерации ленточной рекламы — меня зае6ала вечная реклама недоразвитых коучей со всех пpипизднyтыx уголков планеты — с Дубая, с Бали и прочих мест с повышенной концентрацией фриков. Её невозможно отфильтровать! Естественно, этот отзыв, как и тысячи здесь, останется без всякого внимания, да и к чёрту оно. Просто вы уже zaebali.",0
"А можно сделать какой нибудь VK Lite, без всех вот этих вот игр, клипов, мини приложений, вобще без вкладки «Сервисы»? Ну или, что бы это можно было отключить в настройках. Я думаю большинство будут пользоваться именно такой версией...",0
Вы вообще нормальные превращать соц.сеть для общения в TikTok????,0
я удаляю это приложение пока не уберут эту вкладку с клипами,0
"С каждым обновлением дизайн всё хуже и хуже. Это не удобно, это, в конце концов это неприятно видеть. Раз вы говорите, что: «VK должен оставаться УЮТНЫМ и понятным», то прекратите его уродовать. Нам не удобно, нам очень не уютно. Хватит гнаться за остальными, попробуйте сделать нормально. Если мы захотим тиктоков, то мы и пойдём в тикток. Вы распугиваете потенциальных пользователей этой белибердой.",0
после обновы 07.07.23 на айфоне 7 плюс просто вылетает. классно обновили.👍 продолжайте в том же духе.,0
Нарыгали в раздел «Для вас»,0
"Эти поехавшие загрузили БЕЗ СПРОСА пользователей информацию в своё новое говноприложение знакомств, в том числе удаленные фото или из закрытых альбомов. Мало того, говноприложение показывает расстояние до человека, которое можно отключить только платно. Не представляю, что должно быть не так с этими недоумками, возможно разработчиков по утрам вместо завтрака мама била с ноги по голове, по-другому сложно объяснить происходящее.",0
Это че за какашку вы сделали с приложением,0
Зачем поменяли интерфейс ? Он убогий что слов нет !!! Особенно в разделе где друзья ( онлайн и офф ) вы держитесь тупо из за музыки ! И то столько рекламы в ней - что скоро и с вк уйдут все !!!,0
"Новый дизайн просто ужасен и неудобен, верните старый",0
"Если я ЗАХОЧУ посмотреть ТИК ТОК-я возьму и СКАЧАЮ себе ТИК ТОК!Нахера мне эти клипы в ВК?Мало того что за музло теперь платить надо так ещё и плагиатите другие приложения! «В ИНСТЕ появились истории-давайте добавим такие же в ВК,а ещё,мы захватим дизайн-авось люди и не заметят!Ха!ТИК ТОК стал популярнее!Давайте добавим возможность выкладывать такие же видосы в ВК,а через 2-3 месяца сделаем эту функцию платной»
Вы сделайте всё приложение платным,и что бы можно было им пользоваться 30 минут в сутки,тогда вообще нормально будет!Без музыки обходиться я научился,научусь обходиться и без ВК",0
"Проснулся утром, вижу вышло обновление, пытаюсь зайти и сразу вылетает. И телефон перезагружал, приложение пере устанавливал, ничего не помогает. С каждым обновлением все хуже, явно что на IT специалистах сидят студенты 1 курса, которые только эксель таблички умеют делать🥵✌️",0
"После обновления тупо вылетает, даже не заходя",0
Последние пару дней вк просто не заходит. Вылетает сразу же при нажатии,0
"Так, хорошо, мессенджер, окееей, куча рекламы ОКЕЕЕЕЕЙ, но я собирал плейлист много лет, а теперь меня лишили возможности слушать музыку с выключенным экраном?) 
Что простите?😂 Хотите больше зарабатывать делайте качественные сервисы и зарабатывайте, а не ограничивайте то, что нельзя ограничивать. 
В общем, огромный минус компании Mail, желаю удачи вам получить банкротство и самый низкий рейтинг среди пользователей. 
Всего наилучшего и до связи",0
Приложение стало просто отвратительным,0
"Разработчики на самоизоляции совсем сошли сума, зачем то выкатили новый сервис клипы который заменил какой то из разделов

Вобщем приложение было бесполезное, стало еще бесполезнее, всем пис ✌️

Пользуйтесь телегой 🤟",0
"Боже остановитесь!что за обновление,что за пародия одноклассников?Вы писали в посте что 71% процент опрошенных людей оценили приложение, и оно им очень даже понравилось,бред сивой кобылы!

#вернитестарыйдизайн",0
"Как вернуть старую версию вк, ужасное обновление! Прежний вк был на много лучше и удобнее, разработчики прислушайтесь к пользователям, а не отсебятину херачте..... 🤬🤬🤬🤬",0
Список друзей стал очень неудобным!!!,0
"После обновления Вк стал еще более уродским и непрактичным, более неудобным и отвратительно оформленным. Иной раз при использовании приложения можно получить психологическую травму или нервный срыв. Один вопрос - зачем это делать, если становится только хуже?..",0
"Зачем разработчики к обычному мессенджеру прикрутили десятки утилит, копирующих другой, более качественный софт?! Так же ужаснейший дизайн, на равне с сайтами 10-х. Ужас а не сервис!!!",0
"Раньше можно было слушать музыку 30 мин, теперь вообще нельзя, ужасное приложение, интерфейс меняется каждую неделю, только привыкаешь, оно уже меняется, телеграм лучше, ребят, даже не скачивайте",0
Уберите эту никчёмную вкладку с клипами!!!!,0
